created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2018-08-31 19:10:28 +0200,245,1,24.85,80.05,980.34,1435,,,142.70
2018-08-31 19:10:30 +0200,246,404,23.64,,,,195.01,,
2018-08-31 19:10:40 +0200,247,1,24.85,80.08,980.36,1435,,,143.20
2018-08-31 19:10:52 +0200,248,1,24.85,80.09,980.36,1436,,,142.34
2018-08-31 19:11:04 +0200,249,1,24.84,80.07,980.38,1437,,,142.22
2018-08-31 19:11:05 +0200,250,404,23.63,,,,193.17,,
2018-08-31 19:11:17 +0200,251,1,24.85,80.12,980.36,1437,,,142.46
2018-08-31 19:11:29 +0200,252,1,24.87,80.14,980.36,1438,,,143.07
2018-08-31 19:11:40 +0200,253,404,23.62,,,,190.43,,
2018-08-31 19:11:41 +0200,254,1,24.84,80.12,980.36,1439,,,142.83
2018-08-31 19:11:54 +0200,255,1,24.81,80.15,980.38,1442,,,143.44
2018-08-31 19:12:06 +0200,256,1,24.84,80.17,980.38,1444,,,142.34
2018-08-31 19:12:15 +0200,257,404,23.60,,,,186.77,,
2018-08-31 19:12:18 +0200,258,1,24.82,80.18,980.40,1447,,,143.07
2018-08-31 19:12:31 +0200,259,1,24.82,80.20,980.38,1448,,,142.95
2018-08-31 19:12:43 +0200,260,1,24.82,80.22,980.38,1450,,,142.95
2018-08-31 19:12:50 +0200,261,404,23.58,,,,184.48,,
2018-08-31 19:12:55 +0200,262,1,24.84,80.22,980.38,1451,,,143.69
2018-08-31 19:13:07 +0200,263,1,24.82,80.27,980.38,1452,,,143.20
2018-08-31 19:13:19 +0200,264,1,24.82,80.29,980.40,1454,,,143.44
2018-08-31 19:13:26 +0200,265,404,23.57,,,,185.39,,
2018-08-31 19:13:31 +0200,266,1,24.81,80.29,980.42,1456,,,143.44
2018-08-31 19:13:44 +0200,267,1,24.84,80.32,980.40,1456,,,143.57
2018-08-31 19:13:56 +0200,268,1,24.82,80.31,980.42,1461,,,143.81
2018-08-31 19:14:01 +0200,269,404,23.56,,,,180.36,,
2018-08-31 19:14:08 +0200,270,1,24.82,80.32,980.42,1463,,,143.69
2018-08-31 19:14:20 +0200,271,1,24.81,80.35,980.42,1462,,,144.31
2018-08-31 19:14:32 +0200,272,1,24.81,80.35,980.38,1464,,,144.44
2018-08-31 19:14:36 +0200,273,404,23.54,,,,181.27,,
2018-08-31 19:14:44 +0200,274,1,24.81,80.41,980.38,1463,,,144.31
2018-08-31 19:14:57 +0200,275,1,24.81,80.37,980.40,1464,,,144.44
2018-08-31 19:15:09 +0200,276,1,24.81,80.42,980.40,1465,,,144.44
2018-08-31 19:15:11 +0200,277,404,23.52,,,,176.70,,
2018-08-31 19:15:21 +0200,278,1,24.78,80.43,980.40,1466,,,144.31
2018-08-31 19:15:33 +0200,279,1,24.82,80.46,980.42,1466,,,144.06
2018-08-31 19:15:45 +0200,280,1,24.82,80.49,980.40,1466,,,144.56
2018-08-31 19:15:46 +0200,281,404,23.51,,,,177.15,,
2018-08-31 19:15:57 +0200,282,1,24.81,80.48,980.40,1468,,,145.07
2018-08-31 19:16:10 +0200,283,1,24.81,80.52,980.42,1469,,,144.56
2018-08-31 19:16:21 +0200,284,404,23.46,,,,173.95,,
2018-08-31 19:16:22 +0200,285,1,24.79,80.50,980.42,1469,,,143.94
2018-08-31 19:16:35 +0200,286,1,24.79,80.52,980.42,1469,,,144.69
2018-08-31 19:16:48 +0200,287,1,24.81,80.57,980.42,1471,,,143.20
2018-08-31 19:16:56 +0200,288,404,23.42,,,,171.20,,
2018-08-31 19:17:00 +0200,289,1,24.79,80.60,980.42,1473,,,144.31
2018-08-31 19:17:12 +0200,290,1,24.79,80.58,980.44,1474,,,144.44
2018-08-31 19:17:24 +0200,291,1,24.78,80.61,980.40,1475,,,144.56
2018-08-31 19:17:31 +0200,292,404,23.37,,,,167.08,,
2018-08-31 19:17:36 +0200,293,1,24.78,80.62,980.42,1476,,,144.82
2018-08-31 19:17:48 +0200,294,1,24.78,80.65,980.42,1477,,,144.69
2018-08-31 19:18:01 +0200,295,1,24.77,80.68,980.42,1477,,,144.56
2018-08-31 19:18:06 +0200,296,404,23.34,,,,162.96,,
2018-08-31 19:18:13 +0200,297,1,24.79,80.65,980.44,1477,,,145.45
2018-08-31 19:18:25 +0200,298,1,24.78,80.73,980.40,1479,,,145.07
2018-08-31 19:18:37 +0200,299,1,24.79,80.74,980.42,1479,,,145.07
2018-08-31 19:18:41 +0200,300,404,23.33,,,,160.22,,
2018-08-31 19:18:49 +0200,301,1,24.78,80.71,980.44,1479,,,145.71
2018-08-31 19:19:01 +0200,302,1,24.78,80.73,980.40,1480,,,145.83
2018-08-31 19:19:14 +0200,303,1,24.77,80.75,980.42,1480,,,145.32
2018-08-31 19:19:16 +0200,304,404,23.32,,,,157.47,,
2018-08-31 19:19:26 +0200,305,1,24.77,80.75,980.42,1481,,,146.60
2018-08-31 19:19:38 +0200,306,1,24.77,80.75,980.42,1480,,,145.58
2018-08-31 19:19:50 +0200,307,1,24.78,80.78,980.42,1479,,,146.35
2018-08-31 19:19:51 +0200,308,404,23.31,,,,155.64,,
2018-08-31 19:20:02 +0200,309,1,24.78,80.81,980.42,1478,,,146.09
2018-08-31 19:20:14 +0200,310,1,24.77,80.82,980.44,1480,,,145.83
2018-08-31 19:20:26 +0200,311,404,23.30,,,,154.27,,
2018-08-31 19:20:27 +0200,312,1,24.75,80.85,980.42,1481,,,146.09
2018-08-31 19:20:39 +0200,313,1,24.75,80.83,980.44,1482,,,146.73
2018-08-31 19:20:51 +0200,314,1,24.78,80.85,980.44,1483,,,146.35
2018-08-31 19:21:01 +0200,315,404,23.30,,,,153.81,,
2018-08-31 19:21:03 +0200,316,1,24.78,80.86,980.44,1483,,,146.22
2018-08-31 19:21:16 +0200,317,1,24.75,80.85,980.42,1484,,,146.22
2018-08-31 19:21:28 +0200,318,1,24.75,80.91,980.44,1485,,,145.45
2018-08-31 19:21:37 +0200,319,404,23.29,,,,151.98,,
2018-08-31 19:21:41 +0200,320,1,24.77,80.91,980.44,1487,,,145.96
2018-08-31 19:21:53 +0200,321,1,24.75,80.93,980.46,1490,,,146.35
2018-08-31 19:22:05 +0200,322,1,24.75,80.93,980.44,1491,,,146.73
2018-08-31 19:22:12 +0200,323,404,23.29,,,,151.06,,
2018-08-31 19:22:17 +0200,324,1,24.74,80.95,980.44,1493,,,146.60
2018-08-31 19:22:29 +0200,325,1,24.75,80.96,980.46,1495,,,146.22
2018-08-31 19:22:41 +0200,326,1,24.75,80.99,980.44,1494,,,147.52
2018-08-31 19:22:47 +0200,327,404,23.28,,,,151.06,,
2018-08-31 19:22:54 +0200,328,1,24.75,81.03,980.44,1496,,,146.99
2018-08-31 19:23:06 +0200,329,1,24.72,81.00,980.44,1498,,,147.52
2018-08-31 19:23:18 +0200,330,1,24.74,81.03,980.44,1498,,,147.25
2018-08-31 19:23:22 +0200,331,404,23.27,,,,151.06,,
2018-08-31 19:23:30 +0200,332,1,24.75,81.00,980.46,1500,,,146.99
2018-08-31 19:23:42 +0200,333,1,24.75,81.09,980.46,1500,,,146.86
2018-08-31 19:23:54 +0200,334,1,24.74,81.08,980.46,1499,,,147.52
2018-08-31 19:23:57 +0200,335,404,23.26,,,,151.06,,
2018-08-31 19:24:06 +0200,336,1,24.74,81.06,980.46,1499,,,147.78
2018-08-31 19:24:19 +0200,337,1,24.72,81.08,980.44,1501,,,147.52
2018-08-31 19:24:31 +0200,338,1,24.72,81.13,980.44,1503,,,147.12
2018-08-31 19:24:32 +0200,339,404,23.25,,,,151.06,,
2018-08-31 19:24:43 +0200,340,1,24.72,81.14,980.46,1504,,,147.52
2018-08-31 19:24:55 +0200,341,1,24.72,81.13,980.46,1504,,,147.91
2018-08-31 19:25:07 +0200,342,1,24.74,81.13,980.46,1505,,,147.52
2018-08-31 19:25:07 +0200,343,404,23.25,,,,151.52,,
2018-08-31 19:25:19 +0200,344,1,24.72,81.15,980.48,1507,,,147.52
2018-08-31 19:25:32 +0200,345,1,24.72,81.17,980.48,1508,,,148.04
2018-08-31 19:25:42 +0200,346,404,23.25,,,,151.98,,
